"Town";"Latitude";"Longitude";"IPv4";"IPv6"
"Riga-LV";"56.923599";"23.9711";"Yes";"Yes"
"Rio de Janeiro-BR";"-22.809999";"-43.250557";"Yes";"Yes"
"Riyadh-SA";"24.7136";"46.6753";"Yes";"Yes"
"Rome-IT";"41.804444";"12.250833";"Yes";"Yes"
"Sacramento-US";"38.6954";"-121.591003";"Yes";"Yes"
"Salt Lake City-US";"40.45";"-111.533203";"Yes";"Yes"
"San Diego-US";"32.9755";"-117.533203";"Yes";"Yes"
"San Jose-US";"37.366737";"-121.92638";"Yes";"Yes"
"Sao Paulo-BR";"-23.425669";"-46.481926";"Yes";"Yes"
"Saskatoon-CA";"52.1332";"-106.67";"Yes";"Yes"
"Seattle-US";"47.44384";"-122.301735";"Yes";"Yes"
"Seoul-KR";"37.448524";"126.45123";"Yes";"Yes"
"Singapore-SG";"1.361173";"103.990204";"Yes";"Yes"
"Sofia-BG";"42.688343";"23.41443";"Yes";"Yes"
"St. Louis-US";"38.627003";"-90.199404";"Yes";"Yes"
"Stockholm-SE";"59.64982";"17.930365";"Yes";"Yes"
"Sydney-AU";"-33.932922";"151.1799";"Yes";"Yes"
"Taipei-TW";"25.07639";"121.22389";"Yes";"Yes"
"Tallahassee-US";"30.3965";"-84.350304";"Yes";"Yes"
"Tampa-US";"27.9755";"-82.533203";"Yes";"Yes"
"Tel Aviv-IL";"32.0853";"34.781768";"Yes";"Yes"
"Tokyo-JP";"35.773212";"140.38744";"Yes";"Yes"
"Toronto-CA";"43.681583";"-79.61146";"Yes";"Yes"
"Valparaiso-CL";"-33.397175";"-70.79382";"Yes";"Yes"
"Vancouver-CA";"49.1947";"-123.17919";"Yes";"Yes"
"Vienna-AT";"48.11972";"16.563583";"Yes";"Yes"
"Vilnius-LT";"54.687156";"25.279651";"Yes";"Yes"
"Warsaw-PL";"52.170906";"20.97329";"Yes";"Yes"
"Willemstad-CW";"12.1889";"-68.959801";"Yes";"Yes"
"Winnipeg-CA";"49.893607";"-97.14294";"Yes";"Yes"
"Yerevan-AM";"40.147301";"44.395901";"Yes";"Yes"
"Zagreb-HR";"45.815011";"15.981919";"Yes";"Yes"
"Zurich-CH";"47.450603";"8.561746";"Yes";"Yes"
