"Country";"IPv4";"IPv6";"Latitude";"Longitude";"Sites";"Town";"Type";"site";"id"
"IS";"Yes";"Yes";64.135338;-21.89521;1;"Reykjavik";"Global";"https://www.ripe.net/analyse/dns/k-root/";"Reykjavik-IS"
"US";"Yes";"Yes";37.5246403;-77.5633015;1;"Richmond";"Global";"https://www.ripe.net/analyse/dns/k-root/";"Richmond-US"
"LV";"Yes";"Yes";56.9496487;24.1051864;1;"Riga";"Global";"https://www.ripe.net/analyse/dns/k-root/";"Riga-LV"
"RU";"Yes";"Yes";59.9342802;30.3350986;1;"Saint Petersburg";"Global";"https://www.ripe.net/analyse/dns/k-root/";"SaintPetersburg-RU"
"CR";"Yes";"Yes";9.9280694;-84.0907246;1;"San Jose";"Global";"https://www.ripe.net/analyse/dns/k-root/";"SanJose-CR"
"CL";"Yes";"Yes";-33.4488897;-70.6692655;1;"Santiago";"Global";"https://www.ripe.net/analyse/dns/k-root/";"Santiago-CL"
"KZ";"Yes";"Yes";50.4130211;80.205488;1;"Semey";"Global";"https://www.ripe.net/analyse/dns/k-root/";"Semey-KZ"
"BG";"Yes";"Yes";42.6977211;23.3225964;1;"Sofia";"Global";"https://www.ripe.net/analyse/dns/k-root/";"Sofia-BG"
"US";"Yes";"Yes";37.1078482;-113.5824007;1;"St George";"Global";"https://www.ripe.net/analyse/dns/k-root/";"StGeorge-US"
"GE";"Yes";"Yes";41.7323742;44.6987687;1;"Tbilisi";"Global";"https://www.ripe.net/analyse/dns/k-root/";"Tbilisi-GE"
"IR";"Yes";"No";35.696111;51.423056;3;"Tehran";"Global";"https://www.ripe.net/analyse/dns/k-root/";"Tehran-IR"
"JP";"Yes";"Yes";35.6894875;139.6917064;1;"Tokyo";"Global";"https://www.ripe.net/analyse/dns/k-root/";"Tokyo-JP"
"AT";"Yes";"Yes";48.2081743;16.3738189;2;"Vienna";"Global";"https://www.ripe.net/analyse/dns/k-root/";"Vienna-AT"
"AM";"Yes";"Yes";40.183333;44.516667;1;"Yerevan";"Global";"https://www.ripe.net/analyse/dns/k-root/";"Yerevan-AM"
"CH";"Yes";"Yes";47.3686498;8.5391825;1;"Zurich";"Global";"https://www.ripe.net/analyse/dns/k-root/";"Zurich-CH"
