"Country";"IPv4";"IPv6";"Latitude";"Longitude";"Sites";"Town";"Type";"id";"site"
"SA";"Yes";"Yes";"24.7136";"46.6753";1;"Riyadh";"Local";"Riyadh-SA";"http://f.root-servers.org/"
"IT";"Yes";"Yes";"41.804444";"12.250833";1;"Rome";"Global";"Rome-IT";"http://f.root-servers.org/"
"US";"Yes";"Yes";"38.6954";"-121.591003";1;"Sacramento";"Global";"Sacramento-US";"http://f.root-servers.org/"
"US";"Yes";"Yes";"40.45";"-111.533203";1;"Salt Lake City";"Global";"Salt Lake City-US";"http://f.root-servers.org/"
"US";"Yes";"Yes";"32.9755";"-117.533203";1;"San Diego";"Global";"San Diego-US";"http://f.root-servers.org/"
"US";"Yes";"Yes";"37.366737";"-121.92638";1;"San Jose";"Global";"San Jose-US";"http://f.root-servers.org/"
"BR";"Yes";"Yes";"-23.425669";"-46.481926";1;"Sao Paulo";"Global";"Sao Paulo-BR";"http://f.root-servers.org/"
"CA";"Yes";"Yes";"52.1332";"-106.67";1;"Saskatoon";"Global";"Saskatoon-CA";"http://f.root-servers.org/"
"US";"Yes";"Yes";"47.44384";"-122.301735";1;"Seattle";"Global";"Seattle-US";"http://f.root-servers.org/"
"KR";"Yes";"Yes";"37.448524";"126.45123";1;"Seoul";"Global";"Seoul-KR";"http://f.root-servers.org/"
"SG";"Yes";"Yes";"1.361173";"103.990204";1;"Singapore";"Global";"Singapore-SG";"http://f.root-servers.org/"
"BG";"Yes";"Yes";"42.688343";"23.41443";1;"Sofia";"Global";"Sofia-BG";"http://f.root-servers.org/"
"US";"Yes";"Yes";"38.627003";"-90.199404";1;"St. Louis";"Global";"St. Louis-US";"http://f.root-servers.org/"
"SE";"Yes";"Yes";"59.64982";"17.930365";1;"Stockholm";"Local";"Stockholm-SE";"http://f.root-servers.org/"
"AU";"Yes";"Yes";"-33.932922";"151.1799";1;"Sydney";"Global";"Sydney-AU";"http://f.root-servers.org/"
"TW";"Yes";"Yes";"25.07639";"121.22389";1;"Taipei";"Global";"Taipei-TW";"http://f.root-servers.org/"
"US";"Yes";"Yes";"30.3965";"-84.350304";1;"Tallahassee";"Global";"Tallahassee-US";"http://f.root-servers.org/"
"US";"Yes";"Yes";"27.9755";"-82.533203";1;"Tampa";"Global";"Tampa-US";"http://f.root-servers.org/"
"IL";"Yes";"Yes";"32.0853";"34.781768";1;"Tel Aviv";"Local";"Tel Aviv-IL";"http://f.root-servers.org/"
"JP";"Yes";"Yes";"35.773212";"140.38744";1;"Tokyo";"Global";"Tokyo-JP";"http://f.root-servers.org/"
"CA";"Yes";"Yes";"43.681583";"-79.61146";1;"Toronto";"Global";"Toronto-CA";"http://f.root-servers.org/"
"CL";"Yes";"Yes";"-33.397175";"-70.79382";2;"Valparaiso";"Global";"Valparaiso-CL";"http://f.root-servers.org/"
"CA";"Yes";"Yes";"49.1947";"-123.17919";1;"Vancouver";"Global";"Vancouver-CA";"http://f.root-servers.org/"
"AT";"Yes";"Yes";"48.11972";"16.563583";1;"Vienna";"Global";"Vienna-AT";"http://f.root-servers.org/"
"LT";"Yes";"Yes";"54.687156";"25.279651";1;"Vilnius";"Global";"Vilnius-LT";"http://f.root-servers.org/"
"PL";"Yes";"Yes";"52.170906";"20.97329";1;"Warsaw";"Global";"Warsaw-PL";"http://f.root-servers.org/"
"CW";"Yes";"Yes";"12.1889";"-68.959801";1;"Willemstad";"Global";"Willemstad-CW";"http://f.root-servers.org/"
"CA";"Yes";"Yes";"49.893607";"-97.14294";1;"Winnipeg";"Global";"Winnipeg-CA";"http://f.root-servers.org/"
"AM";"Yes";"Yes";"40.147301";"44.395901";1;"Yerevan";"Local";"Yerevan-AM";"http://f.root-servers.org/"
"HR";"Yes";"Yes";"45.815011";"15.981919";1;"Zagreb";"Global";"Zagreb-HR";"http://f.root-servers.org/"
"CH";"Yes";"Yes";"47.450603";"8.561746";1;"Zurich";"Global";"Zurich-CH";"http://f.root-servers.org/"
